From	Protein names	Gene Names	Subcellular location	Transmembrane
Q38861	General transcription and DNA repair factor IIH helicase subunit XPB1 (TFIIH subunit XPB) (EC 3.6.4.12) (ERCC3 homolog 1) (Protein araXPB) (RAD25 homolog 1) (AtXPB1) (XPB homolog 1)	XPB1 XPB At5g41370 MYC6.8	Nucleus.	
Q9M9M9	Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	At3g03100 T17B22.21	Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.	
Q8LB54	Pre-mRNA-splicing factor 38	PRP38 At2g40650 T7D17.17	Nucleus.	
Q93Z91	AT5g42660/MJB21_3 (DNA-directed RNA polymerase subunit beta) (DNA-directed RNA polymerase subunit beta (DUF616))	MJB21.3 AT5G42660.1 MJB21_3 AT5G42660	Unknown	"TRANSMEM 49..67; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9FLI5	Peptidase family M48 family protein (Similarity to peptidase)	MIO24.13 MIO24_13 AT5G51740	Unknown	
O82197	Vacuolar protein sorting-associated protein 32 homolog 1 (AtVPS32-1) (Charged multivesicular body protein 4 homolog 1) (ESCRT-III complex subunit VPS32 homolog 1)	VPS32.1 CHMP4-1 SNF7A At2g19830 F6F22.14	Endosome.	
F4JP86	tRNA/rRNA methyltransferase (SpoU) family protein	DL4840C At4g17610 AT4G17610 FCAALL.71	Chloroplast	
F4I248	CSC1-like protein At1g69450	At1g69450 F10D13_27	Membrane; Multi-pass membrane protein.	"TRANSMEM 2..22; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 89..109; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 146..166; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 351..371; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 403..423; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 443..463; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 488..510; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 553..573; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 595..615; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 620..640; /note=""Helical""; /evidence=""ECO:0000255"""
F4J2C8	Protein EMBRYO SAC DEVELOPMENT ARREST 30 (EC 2.4.1.-) (O-fucosyltransferase 22) (O-FucT-22) (O-fucosyltransferase family protein) (Protein TUBE GROWTH DEFECTIVE 1)	EDA30 OFUT22 TGD1 At3g03810 F20H23.17	Membrane; Single-pass type II membrane protein.	"TRANSMEM 9..29; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000305"""
Q9C5W7	Tobamovirus multiplication protein 2A (AtTOM2A)	TOM2A At1g32400 F5D14.22	Vacuole membrane; Multi-pass membrane protein.	"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 79..99; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 114..134; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 163..183; /note=""Helical""; /evidence=""ECO:0000255"""
F4IFD0	Protein MAIN-LIKE 2	At2g04865	Nucleus.	
Q9FMN6	HXXXD-type acyl-transferase family protein (N-hydroxycinnamoyl/benzoyltransferase-like protein)	MBD2.2 MBD2_2 At5g42830 AT5G42830	Cytoplasm	
Q9SWH5	Galactoside 2-alpha-L-fucosyltransferase (EC 2.4.1.-) (Xyloglucan alpha-(1,2)-fucosyltransferase) (AtFUT1)	FUT1 FT1 MUR2 At2g03220 T18E12.11	Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Golgi apparatus membrane; Single-pass type II membrane protein. Membrane-bound form in trans cisternae of Golgi.	"TRANSMEM 44..64; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
C0LGH2	Probable LRR receptor-like serine/threonine-protein kinase At1g56130 (EC 2.7.11.1)	At1g56130 F14G9.25 T6H22.8	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 637..657; /note=""Helical""; /evidence=""ECO:0000255"""
A0JQ00	At5g02740 (Ribosomal protein S24e family protein)	AT5G02740 F9G14.50 F9G14_50	Unknown	
Q9FIM9	CDPK-related kinase 4 (AtCRK4) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK4)	CRK4 CP4 At5g24430 K16H17.14	Cell membrane; Lipid-anchor; Cytoplasmic side.	
Q8LPS9	AT5g66920/MUD21_18 (SKU5 similar 17)	sks17 MUD21.18 MUD21_18 SKU5 similar 17 AT5G66920	Unknown	
Q9LVM0	Probable inactive receptor kinase At5g58300	At5g58300 MCK7.17	Membrane; Single-pass membrane protein.	"TRANSMEM 282..302; /note=""Helical""; /evidence=""ECO:0000255"""
Q9SP35	Mitochondrial import inner membrane translocase subunit TIM17-2	TIM17-2 At2g37410 F3G5.20	Mitochondrion inner membrane; Multi-pass membrane protein. Mitochondrion outer membrane. The C-terminal region is located in the outer membrane.	"TRANSMEM 19..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 66..83; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 90..109; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 115..137; /note=""Helical""; /evidence=""ECO:0000255"""
Q84JG2	SWI/SNF complex subunit SWI3B (AtSWI3B) (Transcription regulatory protein SWI3B)	SWI3B CHB2 At2g33610 F4P9.38	Nucleus.	
Q9LZ98	ABC transporter I family member 20 (ABC transporter ABCI.20) (AtABCI20) (GCN-related protein 3) (Non-intrinsic ABC protein 9)	ABCI20 NAP9 At5g02270 T1E22.30	Cytoplasm.	
Q9ZV45	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E)	MSF3.12 MSF3_12 AT2G18740	Nucleus.	
Q42534	Pectinesterase 2 (PE 2) (EC 3.1.1.11) (Pectin methylesterase 2) (AtPME2)	PME2 ARATH8 At1g53830 T18A20.6	Secreted, cell wall.	
Q9STU3	RINT1-like protein MAG2 (Protein MAIGO 2)	MAG2 At3g47700 T23J7.30	Endoplasmic reticulum membrane; Peripheral membrane protein.	
Q8GYD0	Lung seven transmembrane receptor family protein (Uncharacterized protein At1g61670/T13M11_2)	At1g61670 At1g61670/T13M11_2 AT1G61670 T13M11.2 T13M11_2	Membrane; Multi-pass membrane protein.	"TRANSMEM 219..239; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 251..271; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 286..307; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 319..336; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 356..380; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 401..422; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 434..458; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9FN08	Beta-galactosidase 10 (Lactase 10) (EC 3.2.1.23)	BGAL10 At5g63810 MGI19.1	Secreted, extracellular space, apoplast.	
A0A178WBE7	Serine/threonine-protein kinase BSK (EC 2.7.11.1) (Brassinosteroid-signaling kinase)	BSK4 At1g01740 AT1G01740 T1N6.15 T1N6_15	Cell membrane; Lipid-anchor. Membrane; Lipid-anchor.	
Q56Y17	Trimethylguanosine synthase (DUF707) (Uncharacterized protein At2g28310)	AT2G28310 T1B3.17	Unknown	"TRANSMEM 20..40; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
F4K8Y6	Exocyst subunit Exo70 family protein	EXO70F1 ATEXO70F1 MXI22.10 MXI22_10 At5g50380 AT5G50380	Cytoplasm	
A8MQH3	STRUBBELIG-receptor family 6	SRF6 STRUBBELIG-receptor family 6 At1g53730 AT1G53730 F22G10.31 F22G10_31	Unknown	"TRANSMEM 289..314; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9SKD7	Probable cyclic nucleotide-gated ion channel 3 (AtCNGC3) (Cyclic nucleotide- and calmodulin-regulated ion channel 3)	CNGC3 At2g46430 F11C10.12	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 86..106; /note=""Helical; Name=H1""; /evidence=""ECO:0000255""; TRANSMEM 120..140; /note=""Helical; Name=H2""; /evidence=""ECO:0000255""; TRANSMEM 175..195; /note=""Helical; Name=H3""; /evidence=""ECO:0000255""; TRANSMEM 209..229; /note=""Helical; Name=H4""; /evidence=""ECO:0000255""; TRANSMEM 248..268; /note=""Helical; Name=H5""; /evidence=""ECO:0000255""; TRANSMEM 372..392; /note=""Helical; Name=H6""; /evidence=""ECO:0000255"""
Q9SJZ7	Chaperone protein dnaJ A6, chloroplastic (atDjA6) (Chaperone protein dnaJ A26) (AtDjA26)	DJA6 ATJ26 At2g22360	Plastid, chloroplast.	
Q8LAK5	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E)	AT4G30330 F17I23.330 F17I23_330	Nucleus.	
A0A1P8B667	Aminopeptidase P1	APP1 aminopeptidase P1 AP22.64 AP22_64 ATAPP1 At4g36760 AT4G36760	Chloroplast	
Q9LXG3	Peroxidase 56 (Atperox P56) (EC 1.11.1.7) (ATP33)	PER56 P56 At5g15180 F8M21_70	Secreted.	
A0A1I9LQ31	Phosphoinositide phosphatase family protein	SAC3 suppressor of actin 3 At3g43220 AT3G43220	Vacuole membrane; Peripheral membrane protein.	"TRANSMEM 84..104; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q8L9A0	50S ribosomal protein L21, mitochondrial (Protein NUCLEAR FUSION DEFECTIVE 1)	RPL21M NFD1 At4g30930 F6I18.160	Mitochondrion.	
Q9LII9	GDSL esterase/lipase At3g27950 (EC 3.1.1.-) (Extracellular lipase At3g27950)	At3g27950 K24A2.4	Secreted.	
F4HY56	Homeobox-DDT domain protein RLT1 (Protein HOMEOBOX-1) (Protein RINGLET 1)	RLT1 HB-1 At1g28420	Nucleus.	
Q9C9C0	Serine protease SPPA, chloroplastic (EC 3.4.21.-) (Signal peptide peptidase SPPA)	SPPA SPPA1 At1g73990 F2P9.14	Plastid, chloroplast stroma. Plastid, chloroplast thylakoid membrane. Mostly exposed to the stroma but behaves as an intrinsic membrane protein.	
P43289	Shaggy-related protein kinase gamma (EC 2.7.11.1) (ASK-gamma) (Shaggy-related protein kinase 12) (AtSK12)	ASK3 SK12 At3g05840 F10A16.14	Cytoplasm. Cytoplasm, cell cortex. Localized throughout the plasma membrane in asymmetric cell division (ACD) precursors (PubMed:30429609). Accumulates transiently in a polarized pattern at the plasma membrane immediately before ACD, relocalizing to well-defined foci, in a POLAR-dependent and in the presence of BASL (PubMed:30429609).	
P32826	Serine carboxypeptidase-like 49 (EC 3.4.16.-)	SCPL49 At3g10410 F13M14.32	Secreted.	
P57720	Chorismate synthase, chloroplastic (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (Protein EMBRYO DEFECTIVE 1144)	EMB1144 At1g48850 F27K7.1 T24P22.3	Plastid, chloroplast.	
P43288	Shaggy-related protein kinase alpha (EC 2.7.11.1) (ASK-alpha) (Shaggy-related protein kinase 11) (AtSK11)	ASK1 SK11 At5g26751 F2P16.21	Nucleus	
Q9FIY8	Cysteine/Histidine-rich C1 domain family protein	AT5G43520 K9D7.1 K9D7_1	Unknown	
Q93WB8	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (Uncharacterized protein At3g13410)	AT3G13410	Unknown	"TRANSMEM 289..309; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9SZ30	Imidazole glycerol phosphate synthase hisHF, chloroplastic (IGP synthase) (IGPS) (ImGP synthase) (EC 4.3.2.10) (Protein HISTIDINE BIOSYNTHESIS 4) [Includes: Glutaminase (EC 3.5.1.2); Cyclase]	HISN4 At4g26900 F10M23.240	Plastid, chloroplast.	
Q949S9	Pre-mRNA-splicing factor SPF27 homolog (Modifier of SNC1 member 4) (Protein BCAS2 homolog)	MOS4 BCAS2 SPF27 At3g18165 MRC8.16	Nucleus.	
Q9LML3	F10K1.8 protein (Ribosomal protein S18) (Uncharacterized protein At1g07210)	At1g07210 AT1G07210 F10K1.8 F10K1_8	Chloroplast	
Q8L7U5	Serine/threonine-protein phosphatase BSL1 (EC 3.1.3.16) (BSU1-like protein 1)	BSL1 At4g03080 T4I9.4	Nucleus.	
Q9SI16	Peroxidase 15 (Atperox P15) (EC 1.11.1.7) (ATP36)	PER15 P15 At2g18150 F8D23.7	Secreted.	
Q8LDQ8	At5g24165 (Uncharacterized protein At5g24165)	At5g24165 AT5G24165	Chloroplast	
Q8L502	AT5G19950 protein (Tudor domain protein (DUF1767)) (Uncharacterized protein At5g19950)	At5g19950 AT5G19950 F28I16.100 F28I16_100	Unknown	
O64883	Beta-glucosidase 26, peroxisomal (AtBGLU26) (EC 3.2.1.21) (Protein PENETRATION 2)	BGLU26 PEN2 At2g44490 F4I1.30	Peroxisome.	
Q9MA55	Acyl-CoA-binding domain-containing protein 4 (Acyl-CoA binding protein 4)	ACBP4 At3g05420 F22F7.13	Cytoplasm. Also to the periphery of the nucleus.	
O48661	Spermidine synthase 2 (SPDSY 2) (EC 2.5.1.16) (Putrescine aminopropyltransferase 2)	SPDSYN2 At1g70310 F17O7.16	Nucleus	
Q8H0Z0	Protein kinase superfamily protein (Putative serine/threonine protein kinase)	At2g32850 AT2G32850 T21L14.21 T21L14_21	Cytoplasm, Nucleus	
Q9FYG2	Calmodulin-binding transcription activator 4 (AtCAMTA4) (AtFIN21) (Ethylene-induced calmodulin-binding protein 4) (EICBP4) (Ethylene-induced calmodulin-binding protein d) (EICBP.d) (Signal-responsive protein 5) (AtSR5)	CAMTA4 CMTA4 SR5 At1g67310 F1N21.13	Nucleus.	
O04036	Sugar transporter ERD6 (Early-responsive to dehydration protein 6) (Sugar transporter-like protein 1)	ERD6 SUGTL1 At1g08930 F7G19.19	Membrane; Multi-pass membrane protein.	"TRANSMEM 58..78; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 94..114; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 128..148; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 156..176; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 183..203; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 211..231; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 292..312; /note=""Helical; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 329..349; /note=""Helical; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 364..384; /note=""Helical; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 394..414; /note=""Helical; Name=10""; /evidence=""ECO:0000255""; TRANSMEM 430..450; /note=""Helical; Name=11""; /evidence=""ECO:0000255""; TRANSMEM 456..476; /note=""Helical; Name=12""; /evidence=""ECO:0000255"""
Q9XIQ1	Cytochrome P450, family 89, subfamily A, polypeptide 5 (Putative cytochrome P450) (Putative cytochrome p450 protein)	CYP89A5 cytochrome P450 family 89 polypeptide 5 subfamily A AT1G64950 F13O11.25 F13O11_25	Unknown	
Q7PC88	ABC transporter G family member 31 (ABC transporter ABCG.31) (AtABCG31) (Pleiotropic drug resistance protein 3) (AtPDR3)	ABCG31 PDR3 At2g29940 F23F1.14	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 530..550; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 569..589; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 618..638; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 649..669; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 675..695; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 760..780; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1172..1192; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1202..1222; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1258..1278; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1285..1305; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1315..1335; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1342..1362; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 1396..1416; /note=""Helical""; /evidence=""ECO:0000255"""
Q5HZ38	Serine/threonine-protein kinase GRIK2 (EC 2.7.11.1) (Protein GEMINIVIRUS REP INTERACTING KINASE 2) (Protein GRIK2) (SnRK1-activating protein kinase 1) (AtSnAK1)	GRIK2 SNAK1 At5g60550 MUF9.18	Nucleus	
A0A1P8AYC4	Cyclic nucleotide-gated channel 6	CNGC6 ATCNGC6 At2g23980 AT2G23980 T29E15.18 T29E15_18	Cell membrane; Multi-pass membrane protein.	"TRANSMEM 117..138; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 150..168; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 206..226; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 267..287; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 299..322; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 433..451; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9SU14	Nudix hydrolase 7 (AtNUDT7) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (NADH pyrophosphatase) (EC 3.6.1.22) (Protein GROWTH FACTOR GENE 1)	NUDT7 GFG1 NUDX7 At4g12720 T20K18.70	Nucleus. Cytoplasm. Cell membrane. Localized at the plasma membrane when in complex with GG2, but present in the cytoplasm when associated with GG1. Detected in the cytoplasm and nucleus when interacting with RACK1A.	
Q8LAF4	Nucleoporin protein Ndc1-Nup protein	At1g73240 AT1G73240 T18K17.9 T18K17_9	Membrane; Multi-pass membrane protein. Nucleus membrane; Multi-pass membrane protein. Nucleus, nuclear pore complex.	"TRANSMEM 104..125; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 137..158; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 178..201; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
F4IS91	Protein SHORT ROOT IN SALT MEDIUM 1 (AtRSA1) (Protein EMBRYO DEFECTIVE 1579)	RSA1 emb1579 At2g03150 T18E12.18	Nucleus.	
A8MQH0	ATP synthase E chain	At5g15320 AT5G15320 F8M21.210 F8M21_210	Chloroplast	"TRANSMEM 12..32; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
F4I035	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)	At1g48860 AT1G48860 T24P22.2	Chloroplast	
O22850	Probable glutathione peroxidase 3, mitochondrial (EC 1.11.1.9)	GPX3 At2g43350 T1O24.9	Mitochondrion.	
P05466	3-phosphoshikimate 1-carboxyvinyltransferase, chloroplastic (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPs)	At2g45300 F4L23.19	Plastid, chloroplast.	
Q9M7Q7	Proliferating cellular nuclear antigen 1 (PCNA 1)	PCNA PCNA1 At1g07370 F22G5.29	Nucleus.	
F4HSX1	adenine phosphoribosyltransferase (EC 2.4.2.7)	APT1 ATAPT1 At1g27450 AT1G27450 F17L21.24 F17L21_24	Cytoplasm.	
Q9FK07	CLP protease regulatory subunit CLPX1, mitochondrial	CLPX1 At5g53350 K19E1.15	Mitochondrion.	
Q9SU63	Aldehyde dehydrogenase family 2 member B4, mitochondrial (ALDH2a) (EC 1.2.1.3)	ALDH2B4 ALDH2 At3g48000 T17F15.130	Mitochondrion matrix.	
P93013	Non-classical arabinogalactan protein 30 (AtAGP30)	AGP30 At2g33790	Secreted, cell wall.	
Q9CA19	Small ribosomal subunit protein S13, mitochondrial (mS13)	RPS13 At1g77750 T32E8.8	Mitochondrion.	
Q8RUH0	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	At2g47640 At3g62840 AT2G47640 AT3G62840 F17A22.3 F26K9.270	Cytoplasm, cytosol. Nucleus.	
Q9M9V8	Calcium-dependent protein kinase 10 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK1) (AtCDPK1)	CPK10 CDPK1 At1g18890 F6A14.1	Membrane; Lipid-anchor.	
Q9M8R7	Probable protein phosphatase 2C 33 (AtPP2C33) (EC 3.1.3.16) (AtPPC6;1)	PPC6-1 At3g02750 F13E7.31	Chloroplast	
Q8VZF3	Probable glutamyl endopeptidase, chloroplastic (EC 3.4.21.-)	GEP At2g47390 T8I13.23	Plastid, chloroplast stroma.	
Q9SNY3	GDP-mannose 4,6 dehydratase 1 (EC 4.2.1.47) (GDP-D-mannose dehydratase 1) (GMD 1)	GMD1 At5g66280 K1L20.6	Golgi_body	
Q9FX56	Cytosolic sulfotransferase 8 (AtSOT8) (EC 2.8.2.-) (Sulfotransferase 4b) (AtST4b)	SOT8 ST4B At1g13420 T6J4.16	Cytoplasm.	
P43273	Transcription factor TGA2 (HBP-1b homolog) (AHBP-1b) (bZIP transcription factor 20) (AtbZIP20)	TGA2 BZIP20 HBP1B At5g06950 MOJ9.12	Nucleus.	
F4IWW1	AP-3 complex subunit beta	PAT2 AP-3 beta protein affected trafficking 2 WAT1 WEAK ACID TOLERANT 1 At3g55480 AT3G55480	Nucleus	
A0A1P8BBW1	RNA-binding KH domain-containing protein	At5g15270 AT5G15270 F8M21.160 F8M21_160	Nucleus	
O82355	Desiccation-related protein At2g46140 (LEA type-2 family protein At2g46140)	At2g46140 T3F17.21	Unknown	
Q9XIG1	Sterol 3-beta-glucosyltransferase UGT80B1 (EC 2.4.1.173) (Protein TRANSPARENT TESTA 15) (UDP-glucose:sterol glucosyltransferase 80B1)	UGT80B1 TT15 At1g43620 T10P12.7	Nucleus	
Q8GWE6	Enhanced ethylene response protein 5 (Nuclear mRNA export protein THP1) (AtTHP1)	EER5 ESSP1 THP1 At2g19560	Nucleus.	
P92958	SNF1-related protein kinase catalytic subunit alpha KIN11 (AKIN11) (EC 2.7.11.1) (AKIN alpha-1) (AKINalpha1) (SNF1-related kinase 1.2) (SnRK1.2)	KIN11 AKIN11 SNR1 SNRK1.2 At3g29160 MXE2.16	Plastid, chloroplast. Cytoplasm. Endoplasmic reticulum. Co-localized with ER marker when associated with FLZ6 or FLZ10.	
Q9LJH9	Exocyst subunit Exo70 family protein	EXO70D3 ATEXO70D3 MAG2.5 At3g14090 AT3G14090	Nucleus	
Q9SZZ4	At4g25660 (PPPDE putative thiol peptidase family protein) (Uncharacterized protein At4g25660) (Uncharacterized protein L73G19.40)	At4g25660 AT4G25660 L73G19.40 L73G19_40	Cytoplasm	
Q8S9J6	Aspartyl protease family protein At5g10770 (EC 3.4.23.-)	At5g10770 T30N20_40	Cell membrane; Lipid-anchor, GPI-anchor.	
A0A1P8AZD5	Myosin XI D	XID ATXI-D ATXID MYOSIN XI D myosin XI D At2g33240 AT2G33240 F25I18.2 F25I18_2	Chloroplast, Golgi_body, Cytoplasm	
Q8L4D8	Protein IQ-DOMAIN 31 (AtIQD31)	IQD31 At1g74690 F1M20.37 F25A4.33	Nucleus. Nucleus envelope. Cytoplasm, cytoskeleton. Cell membrane. Associates to cortical microtubules (MTs).	
F4JHM9	Transducin family protein / WD-40 repeat family protein	SETH5 A_TM018A10.23 A_TM018A10_23 At4g00800 AT4G00800 T18A10.7 T18A10_7	Unknown	
Q93YP9	Sugar transporter ERD6-like 4	At1g19450 F18O14.22	Membrane; Multi-pass membrane protein.	"TRANSMEM 47..67; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 90..110; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 116..136; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 147..167; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 179..199; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 202..222; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 285..305; /note=""Helical; Name=7""; /evidence=""ECO:0000255""; TRANSMEM 321..341; /note=""Helical; Name=8""; /evidence=""ECO:0000255""; TRANSMEM 348..368; /note=""Helical; Name=9""; /evidence=""ECO:0000255""; TRANSMEM 390..410; /note=""Helical; Name=10""; /evidence=""ECO:0000255""; TRANSMEM 426..446; /note=""Helical; Name=11""; /evidence=""ECO:0000255""; TRANSMEM 452..472; /note=""Helical; Name=12""; /evidence=""ECO:0000255"""
F4IN69	Mediator of RNA polymerase II transcription subunit 33B (Protein REDUCED EPIDERMAL FLUORESCENCE 4) (AtREF4)	MED33B MED24B MED5_1 MED5B REF4 At2g48110 F11L15.1 T9J23.26	Nucleus.	
Q9ZW35	Proliferating cell nuclear antigen 2 (PCNA 2)	PCNA2 At2g29570 F16P2.5	Nucleus.	
Q9SSG3	HIPL1 protein	HIPL1 At1g74790 F25A4.24	Cell membrane; Lipid-anchor, GPI-anchor.	
Q9FYF7	REF/SRPP-like protein At1g67360	At1g67360 F1N21.18	Cytoplasm	
Q8GWH3	Protein OS-9 homolog (AtOS9) (Protein EMS-MUTAGENIZED BRI1 SUPPRESSOR 6)	OS9 EBS6 At5g35080 F7N22.4 T13C12.2	Endoplasmic reticulum.	
